ward,gap_index,pt_index,gap_band,stop_gap,shelter_gap,hub_gap,density_gap,walk_gap,mean_walk_min,area_km2,stop_count,shelter_count,hub_count,stops_per_km2,median_walk_min,p90_walk_min,mean_network_m,pct_samples_within_5min,pct_samples_within_10min,mrts_station_count,cmrl_hub_count,railway_station_count,nearest_mrts_m,nearest_cmrl_m,nearest_railway_m
136,20,80.0,low,3,0,15,2,0,3.1,1.195,10,8,0,8.37,2.6,6.2,244.8,81.8,100.0,0,0,0,2644.3,3361.6,2652.7
165,20,80.0,low,0,20,0,0,0,3.9,1.162,17,1,2,14.63,3.9,6.7,309.7,70.9,98.2,2,0,2,505.0,2353.8,553.8
36,20,80.0,low,3,0,15,2,0,3.8,1.376,12,7,0,8.72,3.3,7.2,300.4,69.2,100.0,0,0,0,1857.4,4397.3,1822.7
42,20,80.0,low,3,0,15,2,0,4.3,1.084,12,5,0,11.07,4.0,6.9,341.3,56.0,100.0,0,0,2,545.2,3131.4,543.0
45,20,80.0,low,3,0,15,2,0,3.0,1.14,11,10,0,9.65,2.9,5.1,236.5,88.9,100.0,0,0,1,596.4,3971.5,563.6
46,20,80.0,low,3,0,15,2,0,4.2,1.436,12,3,0,8.36,3.5,7.3,338.7,72.7,93.9,0,0,0,1111.2,3193.4,1110.9
73,20,80.0,low,3,0,15,2,0,2.5,0.928,11,8,0,11.85,2.3,5.1,199.7,87.0,100.0,0,0,0,982.3,2579.2,1017.4
85,19,81.0,low,0,0,15,4,0,5.1,4.379,23,8,0,5.25,4.8,9.5,408.1,51.2,91.6,0,0,1,941.9,6029.7,912.2
14,18,82.0,low,3,0,15,0,0,2.2,0.668,10,5,0,14.97,2.4,3.6,173.8,100.0,100.0,0,0,0,1348.0,4406.2,1259.3
40,18,82.0,low,0,13,5,0,0,2.6,1.067,15,2,1,14.06,2.1,5.0,204.0,90.2,100.0,1,0,0,491.2,4060.7,1280.4
41,18,82.0,low,3,13,0,2,0,2.9,0.892,10,1,2,11.21,2.8,5.0,235.0,88.6,100.0,2,0,0,598.2,3656.2,647.6
49,18,82.0,low,3,0,15,0,0,2.5,0.78,11,4,0,14.1,2.6,4.0,198.1,97.3,100.0,0,0,0,1313.2,2712.2,1288.3
63,18,82.0,low,3,0,15,0,0,2.9,0.964,12,13,0,12.45,2.2,5.9,234.6,79.5,100.0,0,0,0,1453.4,1912.2,1449.0
77,18,82.0,low,3,0,15,0,0,2.3,0.574,10,8,0,17.42,1.9,4.3,181.9,100.0,100.0,0,0,0,970.6,1817.7,923.5
82,18,82.0,low,0,6,5,7,0,5.8,3.877,19,4,1,4.9,5.1,10.3,460.8,48.9,87.4,1,0,0,1501.7,5987.4,1521.9
1,17,83.0,low,0,0,15,2,0,3.7,1.734,14,7,0,8.07,3.5,6.6,292.1,77.8,96.3,0,0,0,1108.1,9916.5,1127.5
